                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.9691,                0.91785,                 0.8232,                0.84639,                0.54557,                0.65682,                0.30351,                 1.8903,                 0.8844,                0.78429,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.9209,                0.91107,                0.83603,                0.83142,                0.50495,                0.63423,                0.27647,                 1.8502,                0.90969,                0.78164,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.0234,                0.98126,                0.82134,                0.80922,                0.51485,                0.63625,                0.26781,                   1.96,                0.82262,                0.78045,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.9672,                0.87486,                0.82785,                0.78726,                0.55446,                0.66866,                0.30779,                 1.8269,                0.79425,                0.78565,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.9805,                0.95147,                0.81793,                0.76729,                0.54455,                0.66179,                0.29288,                 1.8908,                0.81705,                0.78018,               0.000317,               0.000317,               0.000317
                     87,                  1.902,                0.83332,                 0.8387,                0.78475,                0.54149,                0.63098,                 0.2973,                 1.8472,                0.81069,                0.78345,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.9465,                0.88902,                0.82569,                0.79272,                0.46535,                0.60672,                0.27197,                 1.9087,                0.84627,                0.78496,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.9075,                0.89243,                0.81309,                0.75778,                0.51485,                0.61281,                0.28649,                 1.8257,                0.82373,                 0.7816,              0.0002576,              0.0002576,              0.0002576
                     90,                  1.908,                0.81614,                0.80486,                0.75778,                0.49562,                0.61016,                0.28817,                 1.8506,                0.84997,                0.77927,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.8811,                 0.9297,                0.84123,                0.79507,                0.44554,                0.56807,                0.26668,                 1.9636,                0.88623,                 0.7872,               0.000218,               0.000218,               0.000218
                     92,                 1.8112,                0.85695,                0.83315,                0.73012,                0.45545,                  0.548,                0.25027,                 1.9669,                0.88746,                0.78571,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.7742,                0.80904,                 0.8285,                0.83119,                0.50495,                0.61843,                0.27995,                 1.9048,                0.82923,                0.79079,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.7969,                0.81293,                0.83205,                0.83856,                0.51429,                0.63686,                0.28846,                  1.886,                0.78671,                0.79141,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.8267,                0.83771,                 0.8379,                0.76311,                0.47525,                0.59843,                0.27422,                 1.9162,                0.81356,                0.78805,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.8493,                0.87758,                0.82202,                0.78433,                0.48515,                0.59897,                0.26876,                 2.0159,                0.84831,                0.78574,               0.000119,               0.000119,               0.000119
                     97,                 1.7794,                0.80076,                0.81964,                0.76455,                0.48515,                0.61136,                0.29312,                 1.8803,                0.80848,                0.78525,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.8287,                0.85502,                0.81524,                0.76262,                0.50896,                0.61971,                0.29622,                 1.8356,                0.78086,                0.78516,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.7663,                0.81745,                0.81828,                0.77181,                0.53584,                0.62198,                0.29518,                 1.8371,                0.77971,                0.78755,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.7578,                0.83637,                0.83473,                0.78603,                0.52475,                0.62393,                 0.2959,                 1.8363,                0.77385,                0.78711,               3.98e-05,               3.98e-05,               3.98e-05
